Country,Sport,Men,Women,Total
Afghanistan,Athletics,1,1,2
Afghanistan,Cycling,0,2,2
Afghanistan,Judo,1,0,1
Afghanistan,Swimming,1,0,1
Albania,Athletics,1,1,2
Albania,Shooting,0,1,1
Albania,Swimming,1,1,2
Albania,Wrestling,3,0,3
Algeria,Athletics,7,1,8
Algeria,Badminton,1,1,2
Algeria,Boxing,2,3,5
Algeria,Canoeing,0,1,1
Algeria,Cycling,1,1,2
Algeria,Fencing,1,3,4
Algeria,Gymnastics,0,1,1
Algeria,Judo,2,1,3
Algeria,Rowing,1,1,2
Algeria,Sailing,1,0,1
Algeria,Shooting,2,1,3
Algeria,Swimming,1,1,2
Algeria,Table tennis,1,1,2
Algeria,Weightlifting,1,0,1
Algeria,Wrestling,6,2,8
American Samoa,Athletics,0,1,1
American Samoa,Swimming,1,0,1
Andorra,Athletics,1,0,1
Andorra,Canoeing,0,1,1
Angola,Athletics,1,0,1
Angola,Canoeing,2,0,2
Angola,Handball,0,14,14
Angola,Judo,1,0,1
Angola,Rowing,1,0,1
Angola,Sailing,2,1,3
Angola,Swimming,1,1,2
Antigua and Barbuda,Athletics,1,1,2
Antigua and Barbuda,Sailing,1,0,1
Antigua and Barbuda,Swimming,1,1,2
Argentina,Archery,1,0,1
Argentina,Athletics,3,3,6
Argentina,Canoeing,1,1,2
Argentina,Cycling,3,0,3
Argentina,Equestrian,1,0,1
Argentina,Fencing,1,0,1
Argentina,Field hockey,16,16,32
Argentina,Football,18,0,18
Argentina,Golf,2,0,2
Argentina,Handball,14,0,14
Argentina,Judo,0,1,1
Argentina,Modern pentathlon,1,0,1
Argentina,Rowing,2,2,4
Argentina,Rugby sevens,12,0,12
Argentina,Sailing,3,4,7
Argentina,Shooting,2,1,3
Argentina,Skateboarding,2,0,2
Argentina,Swimming,1,2,3
Argentina,Table tennis,1,0,1
Argentina,Taekwondo,1,0,1
Argentina,Tennis,6,2,8
Argentina,Triathlon,0,1,1
Argentina,Volleyball,12,0,12
Armenia,Athletics,1,0,1
Armenia,Boxing,1,0,1
Armenia,Gymnastics,2,0,2
Armenia,Shooting,0,1,1
Armenia,Swimming,1,1,2
Armenia,Weightlifting,3,0,3
Armenia,Wrestling,5,0,5
Aruba,Cycling,0,1,1
Aruba,Sailing,2,0,2
Aruba,Shooting,1,0,1
Aruba,Swimming,1,1,2
Australia,Archery,1,1,2
Australia,Artistic swimming,0,8,8
Australia,Athletics,34,41,75
Australia,Badminton,0,3,3
Australia,Basketball,12,16,28
Australia,Boxing,6,6,12
Australia,Breaking,1,1,2
Australia,Canoeing,9,7,16
Australia,Cycling,12,13,25
Australia,Diving,5,6,11
Australia,Equestrian,5,4,9
Australia,Field hockey,16,16,32
Australia,Football,0,19,19
Australia,Golf,2,2,4
Australia,Gymnastics,1,11,12
Australia,Judo,1,2,3
Australia,Modern pentathlon,0,1,1
Australia,Rowing,14,21,35
Australia,Rugby sevens,12,12,24
Australia,Sailing,6,6,12
Australia,Shooting,6,4,10
Australia,Skateboarding,4,5,9
Australia,Sport Climbing,1,1,2
Australia,Surfing,2,2,4
Australia,Swimming,23,21,44
Australia,Table tennis,3,3,6
Australia,Taekwondo,2,1,3
Australia,Tennis,5,4,9
Australia,Triathlon,2,2,4
Australia,Volleyball,4,2,6
Australia,Water polo,13,13,26
Australia,Weightlifting,1,2,3
Australia,Wrestling,2,0,2
Austria,Archery,0,1,1
Austria,Artistic swimming,0,2,2
Austria,Athletics,4,3,7
Austria,Badminton,1,0,1
Austria,Canoeing,1,2,3
Austria,Cycling,5,4,9
Austria,Diving,1,0,1
Austria,Equestrian,5,3,8
Austria,Golf,1,2,3
Austria,Gymnastics,1,1,2
Austria,Judo,3,3,6
Austria,Rowing,0,3,3
Austria,Sailing,5,4,9
Austria,Shooting,3,2,5
Austria,Sport climbing,1,1,2
Austria,Swimming,5,0,5
Austria,Table tennis,1,1,2
Austria,Taekwondo,0,1,1
Austria,Tennis,1,1,2
Austria,Triathlon,2,2,4
Austria,Volleyball,2,0,2
Azerbaijan,Archery,0,1,1
Azerbaijan,Athletics,0,1,1
Azerbaijan,Badminton,1,1,2
Azerbaijan,Basketball,0,4,4
Azerbaijan,Boxing,5,0,5
Azerbaijan,Fencing,0,1,1
Azerbaijan,Gymnastics,0,7,7
Azerbaijan,Judo,7,2,9
Azerbaijan,Rowing,0,1,1
Azerbaijan,Shooting,1,0,1
Azerbaijan,Swimming,1,1,2
Azerbaijan,Taekwondo,1,0,1
Azerbaijan,Triathlon,1,0,1
Azerbaijan,Wrestling,11,1,12
Bahamas,Athletics,9,7,16
Bahamas,Swimming,1,1,2
Bahrain,Athletics,1,6,7
Bahrain,Judo,1,0,1
Bahrain,Swimming,1,1,2
Bahrain,Weightlifting,2,0,2
Bahrain,Wrestling,1,0,1
Bangladesh,Archery,1,0,1
Bangladesh,Athletics,1,0,1
Bangladesh,Shooting,1,0,1
Bangladesh,Swimming,1,1,2
Barbados,Athletics,0,2,2
Barbados,Swimming,1,0,1
Barbados,Triathlon,1,0,1
Belgium,Athletics,24,20,43
Belgium,Badminton,1,1,2
Belgium,Basketball,0,12,12
Belgium,Boxing,2,1,3
Belgium,Canoeing,1,2,3
Belgium,Cycling,11,10,21
Belgium,Equestrian,4,5,9
Belgium,Fencing,1,0,1
Belgium,Field hockey,16,16,32
Belgium,Golf,2,1,3
Belgium,Gymnastics,3,2,5
Belgium,Judo,3,1,4
Belgium,Rowing,3,0,3
Belgium,Sailing,4,4,8
Belgium,Sport climbing,1,0,1
Belgium,Swimming,1,3,4
Belgium,Table tennis,2,0,2
Belgium,Taekwondo,0,1,1
Belgium,Tennis,3,0,3
Belgium,Triathlon,2,2,4
Belgium,Weightlifting,0,1,1
Belize,Athletics,1,0,1
Benin,Athletics,1,1,2
Benin,Judo,1,0,1
Benin,Swimming,1,1,2
Bermuda,Athletics,1,0,1
Bermuda,Rowing,1,0,1
Bermuda,Sailing,0,1,1
Bermuda,Swimming,1,1,2
Bermuda,Triathlon,1,2,3
Bhutan,Archery,1,0,1
Bhutan,Athletics,0,1,1
Bhutan,Swimming,1,0,1
Bolivia,Athletics,1,1,2
Bolivia,Swimming,1,1,2
Bosnia and Herzegovina,Athletics,1,0,1
Bosnia and Herzegovina,Judo,0,2,2
Bosnia and Herzegovina,Swimming,1,1,2
Botswana,Athletics,8,1,9
Botswana,Swimming,1,1,2
Brazil,Archery,1,1,2
Brazil,Athletics,24,20,44
Brazil,Badminton,1,1,2
Brazil,Basketball,12,0,12
Brazil,Boxing,5,5,10
Brazil,Canoeing,5,3,8
Brazil,Cycling,3,3,6
Brazil,Diving,0,1,1
Brazil,Equestrian,7,0,7
Brazil,Fencing,1,2,3
Brazil,Football,0,18,18
Brazil,Gymnastics,3,12,15
Brazil,Handball,0,14,14
Brazil,Judo,7,6,13
Brazil,Modern pentathlon,0,1,1
Brazil,Rowing,1,1,2
Brazil,Rugby sevens,0,12,12
Brazil,Sailing,7,5,12
Brazil,Shooting,1,2,3
Brazil,Skateboarding,6,6,12
Brazil,Surfing,3,3,6
Brazil,Swimming,11,9,20
Brazil,Table tennis,3,3,6
Brazil,Taekwondo,2,2,4
Brazil,Tennis,2,3,5
Brazil,Triathlon,2,2,4
Brazil,Volleyball,16,16,32
Brazil,Weightlifting,0,2,2
Brazil,Wrestling,0,1,1
British Virgin Islands,Athletics,2,1,3
British Virgin Islands,Sailing,1,0,1
Brunei,Athletics,1,0,1
Brunei,Swimming,1,1,2
Bulgaria,Athletics,2,3,5
Bulgaria,Badminton,0,3,3
Bulgaria,Boxing,3,2,5
Bulgaria,Canoeing,0,1,1
Bulgaria,Fencing,0,1,1
Bulgaria,Gymnastics,1,8,9
Bulgaria,Judo,2,0,2
Bulgaria,Modern pentathlon,1,0,1
